,CVS,VA,DMP,IVS,DCE
CVS1,0.497,,,,
CVS2,0.52,,,,
CVS3,0.498,,,,
CVS4,0.49,,,,
CVS5,0.494,,,,
CVS6,0.517,,,,
CVS7,0.5,,,,
CVS8,0.589,,,,
CVS9,0.518,,,,
VA1,,0.498,,,
VA2,,0.532,,,
VA3,,0.504,,,
VA4,,0.5,,,
VA5,,0.55,,,
VA6,,0.484,,,
VA7,,0.486,,,
VA8,,0.503,,,
DMP1,,,0.51,,
DMP2,,,0.531,,
DMP3,,,0.487,,
DMP4,,,0.5,,
DMP5,,,0.486,,
DMP6,,,0.509,,
DMP7,,,0.497,,
IVS1,,,,0.547,
IVS2,,,,0.49,
IVS3,,,,0.475,
IVS4,,,,0.522,
IVS5,,,,0.495,
IVS6,,,,0.474,
IVS7,,,,0.541,
IVS8,,,,0.522,
DCE1,,,,,0.522
DCE2,,,,,0.472
DCE3,,,,,0.511
DCE4,,,,,0.464
DCE5,,,,,0.479
